Hormone,_c1,Organ
Addison's disease,mayCauseUnderProductionOf,Tetrahydrocortisol
Addison's disease,mayCauseUnderProductionOf,5beta-dihydrodeoxycorticosterone
Addison's disease,mayCauseUnderProductionOf,"11β,18,21-trihydroxy-5β-pregnan-3,20-dione"
Addison's disease,mayCauseUnderProductionOf,"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione"
Addison's disease,mayCauseUnderProductionOf,Corticosterone
Addison's disease,mayCauseUnderProductionOf,18-hydroxycortisol
Addison's disease,mayCauseUnderProductionOf,11-Deoxycortisol
Addison's disease,mayCauseUnderProductionOf,"11b,17a 21-Trihydroxy-5bPregnane 3,20-dione"
Addison's disease,mayCauseUnderProductionOf,beta-cortol
Addison's disease,mayCauseUnderProductionOf,Dehydroepiandrosterone
Addison's disease,mayCauseUnderProductionOf,Androstenedione
Addison's disease,mayCauseUnderProductionOf,"5beta-Pregnane-3alpha,17alpha-diol-11,20-dione"
Addison's disease,mayCauseUnderProductionOf,Aldosterone 18-glucuronide
Addison's disease,mayCauseUnderProductionOf,Pregnenetriol
Addison's disease,mayCauseUnderProductionOf,"5beta-pregnane-3,20-dione"
Progesterone,secretedBy,Adrenal cortex
norepinephrine,secretedBy,Adrenal medulla
dopamine,secretedBy,Substantia nigra
dopamine,secretedBy,Ventral Tegmental Area
Chromaffin cells,partOf,Adrenal medulla
L cells,partOf,Ileum
Pancreatic β-cells,partOf,Islets of Langerhans
Lactotrophs of anterior pituitary,partOf,Anterior pituatory
Zona fasciculata,partOf,Adrenal cortex
Thyrotropes,partOf,Anterior pituatory
PP cells,partOf,Islets of Langerhans
Thyroid follicular cell,partOf,Peripheral tissue
Beta cells of Islets of Langerhans,partOf,Islets of Langerhans
Cardiac myocytes,partOf,Cardiac muscle
Parathyroid chief cell,partOf,Parathyroid
Parvocellular neurosecretory neurons,partOf,Posteria pituatory
Alpha cells of Islets of Langerhans,partOf,Islets of Langerhans
Zona glomerulosa,partOf,Adrenal cortex
Zona reticularis,partOf,Adrenal cortex
Myocytes,partOf,Muscle
Magnocellular neurosecretory cells,partOf,Posteria pituatory
Delta cells in islets,partOf,Islets of Langerhans
Adipocytes,partOf,Adipose tissue
Somatotropes,partOf,Anterior pituatory
Parafollicular cell,partOf,Thyroid
Corticotrope,partOf,Anterior pituatory
Neuroendocrince cells,partOf,Periventricular nucleus
Gonadotropes,partOf,Anterior pituatory
Tetrahydrocortisone,childOf,Glucocorticoid
Allotetrahydrocortisone,childOf,Glucocorticoid
Dehydroepiandrosterone,childOf,Androgen
Dexamethasone,childOf,Glucocorticoid
Dihydrotestosterone,childOf,Androgen
Androstenedione,childOf,Androgen
Calcitriol,childOf,Secosteroid
Testosterone,childOf,Androgen
Cortisol,childOf,Glucocorticoid
18-oxocortisol,childOf,Glucocorticoid
Cortisone,childOf,Glucocorticoid
11-Deoxycortisol,childOf,Mineralcorticoid
11-deoxycorticosterone,childOf,Mineralcorticoid
21-deoxycortisol,childOf,Glucocorticoid
17-hydroxyprogesterone,childOf,Progestogen
Tetrahydroaldosterone,childOf,Mineralcorticoid
Aldosterone,childOf,Mineralcorticoid
Corticosterone,childOf,Glucocorticoid
Estriol,childOf,Estrogen
Estrone,childOf,Estrogen
Estradiol,childOf,Estrogen
Progesterone,childOf,Progestogen
18-hydroxycortisol,childOf,Glucocorticoid
Allo-Tetrahydrocortisol,childOf,Glucocorticoid
Tetrahydrocortisol,childOf,Glucocorticoid
18-hydroxycorticosterone,childOf,Mineralcorticoid
Calcidiol,childOf,Secosteroid
Dehydroepiandrosterone sulfate,childOf,Androgen
Epitestosterone,childOf,Androgen
Jejunum,partOf,Small Intestine
Gastric Mucosa,partOf,Stomach
Substantia nigra,partOf,Brain
