B00407,Georgian Bank,Atlanta
B00409,Irwin Union Bank and Trust Company,Columbus
B00410,Venture Bank,Lacey
B00413,First State Bank,Flagstaff
B00422,CapitalSouth Bank,Birmingham
B00423,First Coweta Bank,Newnan
B00427,Union Bank,National Association
B00429,Dwelling House Savings and Loan Association,Pittsburgh
B00433,Mutual Bank,Harvey
B00441,Security Bank of North Metro,Woodstock
B00443,Security Bank of Gwinnett County,Suwanee
B00444,Waterford Village Bank,Williamsville
B00447,BankFirst,Sioux Falls
B00448,First Piedmont Bank,Winder
B00451,Millennium State Bank of Texas,Dallas
B00454,Rock River Bank,Oregon
B00456,John Warner Bank,Clinton
B00459,Horizon Bank,Pine City
B00461,Community Bank of West Georgia,Villa Rica
B00463,Cooperative Bank,Wilmington
B00473,First Bank of Idaho,Ketchum
B00474,First Bank of Beverly Hills,Calabasas
B00476,American Southern Bank,Kennesaw
B00478,American Sterling Bank,Sugar Creek
B00479,New Frontier Bank,Greeley
B00483,Colorado National Bank,Colorado Springs
B00486,Security Savings Bank,Henderson
B00488,Silver Falls Bank,Silverton
B00491,Riverside Bank of the Gulf Coast,Cape Coral
B00494,Alliance Bank,Culver City
B00503,Haven Trust Bank,Duluth
B00504,First Georgia Community Bank,Jackson
B00507,Community Bank,Loganville
B00508,Security Pacific Bank,Los Angeles
B00514,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson
B00517,Integrity Bank,Alpharetta
B00527,Miami Valley Bank,Lakeview
B00529,Metropolitan Savings Bank,Pittsburgh
B00532,Guaranty National Bank of Tallahassee,Tallahassee
B00535,First National Bank of Blanchardville,Blanchardville
B00540,Universal Federal Savings Bank,Chicago
B00541,Connecticut Bank of Commerce,Stamford
B00546,Bank of Sierra Blanca,Sierra Blanca
B00547,Hamilton Bank,NA
