Fact,ProvenanceLeft,ProvenanceRight,Rule
partOfTransitive(1027|gpcr),partOfTransitive(1027|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1027|transporter),partOfTransitive(1027|198),partOf(198|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1028|1),partOfTransitive(1028|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1028|17),partOfTransitive(1028|198),partOf(198|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1028|198),partOf(1028|198),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1028|2),partOfTransitive(1028|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1028|gpcr),partOfTransitive(1028|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1028|other_protein),partOf(1028|other_protein),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1028|transporter),partOfTransitive(1028|198),partOf(198|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1029|1),partOfTransitive(1029|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
