MasterID,Mesor_hat,AmplitudeHat,AcrophaseHat,Peak,Nadir,PeakTime,NadirTime,Phase,Morning,Afternoon,Evening,Night,MorningPeak,AfternoonPeak,EveningPeak,NightPeak,BimodalAfternoon,BimodalEvening
595,7.18535388054314,-2.644500314309245,6.922634027062369,19.313,1.004,7.0,2.3333333333333335,19.333333333333332,8.844,4.122,8.844,8.844,19.313,6.199,19.313,19.313,True,True
605,2.0317000274291956,1.0864522163311816,6.922634027062369,7.365,0.083,8.333333333333334,13.666666666666666,5.333333333333332,3.715,0.6225,3.715,3.715,7.365,1.405,7.365,7.365,True,True
611,3.743615655255673,-3.560737005031955,6.922634027062369,16.975,0.611,11.333333333333334,4.0,16.666666666666664,6.393,4.911,6.393,6.393,16.975,10.161,16.975,16.975,True,True
615,2.906723325081561,1.38699680197164,6.922634027062369,7.028,0.562,5.666666666666667,22.666666666666668,17.0,2.856,1.479,2.856,2.856,7.028,1.842,7.028,7.028,True,True
617,0.3142224805923978,-0.48986700421686896,6.922634027062369,1.537,0.071,8.0,1.0,17.0,1.132,0.208,1.132,1.132,1.537,0.255,1.537,1.537,True,True
645,3.1583273596101646,-6.711633965758601,6.922634027062369,21.401,0.112,10.333333333333334,20.666666666666668,10.333333333333334,12.246,6.625,12.246,12.246,21.401,12.987,21.401,21.401,True,True
649,3.5146858648339196,-1.5290957639479927,6.922634027062369,10.509,0.524,7.0,21.666666666666668,14.666666666666668,4.393,1.557,4.393,4.393,10.509,2.035,10.509,10.509,True,True
653,3.74001682410102,-3.186444404867963,6.922634027062369,15.514,0.318,10.333333333333334,5.0,18.666666666666664,6.63,4.371,6.63,6.63,15.514,4.9,15.514,15.514,True,True
655,3.2445738745625845,-2.5405718181165198,6.922634027062369,8.637,0.35,8.666666666666666,2.3333333333333335,17.666666666666664,5.42,2.95625,5.42,5.42,8.637,6.197,8.637,8.637,True,True
659,1.6078235338676594,1.0175791867329533,6.922634027062369,5.501,0.061,8.0,12.333333333333334,4.333333333333334,3.223,0.545,3.223,3.223,5.501,1.194,5.501,5.501,True,True
661,6.370296017952943,-5.638199268034259,6.922634027062369,20.174,0.49,6.666666666666667,23.666666666666668,17.0,11.059,4.8,11.059,11.059,20.174,6.31,20.174,20.174,True,True
663,5.620045081499426,-5.680605465876259,6.922634027062369,21.953,0.483,8.333333333333334,12.666666666666666,4.333333333333332,11.122,4.627,11.122,11.122,21.953,10.673,21.953,21.953,True,True
665,4.888846331929054,-3.4417931992733193,6.922634027062369,11.142,0.594,9.333333333333334,2.3333333333333335,17.0,8.623,6.479,8.623,8.623,11.142,8.721,11.142,11.142,True,False
669,3.763256636751256,-2.225905644889165,6.922634027062369,9.669,0.4,6.666666666666667,11.333333333333334,4.666666666666667,5.127,2.488,5.127,5.127,9.669,3.945,9.669,9.669,True,True
671,3.4799771146385465,-1.955089256534429,6.922634027062369,9.163,0.437,8.333333333333334,3.6666666666666665,19.333333333333336,4.93,3.042,4.93,4.93,9.163,3.349,9.163,9.163,True,True
673,2.702957974885465,-2.3853880327433554,6.922634027062369,8.878,0.331,9.333333333333334,4.333333333333333,19.0,5.026,3.971,5.026,5.026,8.878,4.823,8.878,8.878,True,True
679,4.396657891185963,-3.3807865179316,6.922634027062369,13.192,0.426,7.666666666666667,2.0,18.333333333333332,5.458,5.034,5.458,5.458,13.192,10.081,13.192,13.192,True,False
681,2.4131757103389986,1.1832333266491966,6.922634027062369,7.894,0.148,8.333333333333334,14.666666666666666,6.333333333333332,3.067,0.912,3.067,3.067,7.894,2.85,7.894,7.894,True,True
683,0.7711455041189428,-0.7474047170877952,6.922634027062369,3.409,0.033,8.666666666666666,4.0,19.333333333333336,2.047,0.973,2.047,2.047,3.409,1.369,3.409,3.409,True,True
687,0.8175738452870586,-0.9801958515130266,6.922634027062369,3.631,0.067,8.0,2.6666666666666665,18.666666666666668,2.498,0.655,2.498,2.498,3.631,0.907,3.631,3.631,True,True
695,2.1995803360481414,-1.6948873000725515,6.922634027062369,6.18,0.272,7.333333333333333,1.3333333333333333,18.0,3.926,1.946,3.926,3.926,6.18,2.61,6.18,6.18,True,True
699,1.8149951499327763,-0.6529122269397656,6.922634027062369,4.792,0.343,9.333333333333334,5.333333333333333,20.0,2.704,0.806,2.704,2.704,4.792,1.142,4.792,4.792,True,True
707,1.0169607627619834,-0.4323310112256133,6.922634027062369,3.433,0.026,8.666666666666666,13.333333333333334,4.666666666666668,1.431,0.46740000000000004,1.431,1.431,3.433,0.833,3.433,3.433,True,True
713,1.6401680027862606,-0.8707960814674759,6.922634027062369,3.875,0.033,7.0,0.6666666666666666,17.666666666666668,2.289,1.42,2.289,2.289,3.875,1.7,3.875,3.875,True,True
717,5.56338577065001,-3.325987204039703,6.922634027062369,14.75,0.336,7.333333333333333,1.6666666666666665,18.333333333333336,7.361,5.097,7.361,7.361,14.75,6.447,14.75,14.75,True,True
721,1.9443219253973092,-2.297833787620528,6.922634027062369,12.003,0.404,9.333333333333334,12.0,2.666666666666666,5.03,3.579,5.03,5.03,12.003,5.62,12.003,12.003,True,True
725,1.6636054969815268,-1.127505902895878,6.922634027062369,7.662,0.213,7.666666666666667,11.0,3.333333333333333,2.639,0.903,2.639,2.639,7.662,1.204,7.662,7.662,True,True
727,0.6689571533696762,-0.37869225872636325,6.922634027062369,1.646,0.037,6.666666666666667,10.0,3.333333333333333,0.502,0.933,0.502,0.502,1.646,1.606,1.646,1.646,True,True
729,2.2323158409942354,-2.3614901231048284,6.922634027062369,11.493,0.042,10.0,12.0,2.0,6.279,2.972,6.279,6.279,11.493,3.912,11.493,11.493,True,True
735,3.982359084906936,-3.6883334731895707,6.922634027062369,20.218,0.847,9.0,2.3333333333333335,17.333333333333332,8.53,4.07,8.53,8.53,20.218,7.497,20.218,20.218,True,True
747,1.0877591078996454,-0.6421306600943554,6.922634027062369,4.03,0.063,7.666666666666667,1.0,17.333333333333332,1.56,0.826,1.56,1.56,4.03,0.9546666666666667,4.03,4.03,True,True
751,5.236450916517372,-3.948032666524164,6.922634027062369,17.928,1.716,9.0,2.0,17.0,10.92,5.663,10.92,10.92,17.928,8.804,17.928,17.928,True,True
753,9.022556895312725,-3.9130199835650985,6.922634027062369,27.185,1.222,7.0,11.333333333333334,4.333333333333334,9.925,4.916,9.925,9.925,27.185,9.985,27.185,27.185,True,True
761,0.1212116185824454,0.06159778586619741,6.922634027062369,0.305,0.014,3.3333333333333335,21.666666666666668,18.333333333333336,0.172,0.129,0.172,0.172,0.303,0.182,0.303,0.303,True,True
